,sensacion_termica,humedad,velocidad_viento,alquiler_casual,total_alquileres,alquiler_registrado_boxcox,estacion_map,año_map,mes_map,dia_sem_map,laborable_map,prevision_tiempo_map
0,-0.4563991203197833,0.8567140298507462,-0.20890882308794095,-0.49471323293816083,-1.2743853375055878,-1.4614775749657172,0.0,0.0,0.0,0.5,1,1.5
1,-0.4928625107770049,0.3325540298507464,0.6875500863711644,-0.7510413329061199,-1.3401877514528386,-1.4522141621715974,0.0,0.0,0.0,0.5,1,1.5
2,-1.098989843105253,-0.9035725373134327,0.6852095422964299,-0.7651393784043575,-1.1442109968708092,-1.146398884195132,0.0,0.0,0.0,0.0,0,2.0
3,-1.0152007634960376,-0.17205253731343256,-0.21043526487581127,-0.7805190644024351,-1.0680375502905677,-1.030434901555648,0.0,0.0,0.0,0.0,0,2.0
4,-0.9519523091605695,-0.9050817910447758,0.060294450620880104,-0.8138417173982698,-1.0544479213232008,-0.9980084845830606,0.0,0.0,0.0,0.0,0,2.0
5,-0.9374237541321458,-0.5167641791044776,-0.9302115902724953,-0.806151874399231,-1.0523021904336165,-0.9980084845830606,0.0,0.0,0.0,0.0,0,2.0
6,-1.0273097368797173,-0.6102089552238805,-0.12464923639749573,-0.7292534444088433,-1.0866338846669648,-1.0774652878571613,0.0,0.0,0.0,0.5,0,1.5
7,-1.1991332291364107,-0.4328382089552236,0.8734198147408484,-0.8317846843960269,-1.2836835046937862,-1.3276127264614979,0.0,0.0,0.0,0.5,1,1.5
8,-1.3690903977463962,-0.9184071641791043,1.8416520170656192,-0.849727651393784,-1.3326776933392936,-1.3962356165216705,0.0,0.0,0.0,0.5,1,2.0
9,-1.2410554318409202,-0.6855713432835819,0.4303751739507619,-0.8663889778917013,-1.154224407688869,-1.1198269698526195,0.0,0.0,0.0,0.0,0,2.0
10,-1.0913954549855465,0.28611582089552234,-0.5988027608243804,-0.8638256968920218,-1.1749664729548503,-1.1511067483605064,0.0,0.0,0.0,0.0,0,1.5
11,-1.205702245766424,-0.12854208955223848,1.2583171996916585,-0.886895225889138,-1.211086276262852,-1.194800582531865,0.0,0.0,0.0,0.0,0,2.0
12,-1.2410738737741882,-0.7452728358208954,1.221407837260953,-0.8702338993912208,-1.1238265534197587,-1.0743824581328376,0.0,0.0,0.0,0.0,0,2.0
13,-1.1026487226655972,-0.4233194029850743,-0.5538643145894762,-0.849727651393784,-1.118462226195798,-1.0748961079178825,0.0,0.0,0.0,0.5,0,2.0
14,-0.882455727833949,-0.6099510447761192,-0.23417652281648874,-0.6344120474206985,-1.1803308001788109,-1.2540711274697696,0.0,0.0,0.0,0.5,1,1.5
15,-0.9337058603853443,-0.6815928358208954,0.0758946856929156,-0.5972444729253444,-1.1960661600357623,-1.293625207033829,0.0,0.0,0.0,0.5,1,2.0
16,-1.145588920086493,-0.42487641791044756,0.13271902531603696,-0.768984299903877,-1.2690210102816273,-1.3320261466571832,0.0,0.0,0.0,0.0,1,1.5
17,-0.9406547808406758,1.1233838805970153,-0.34802872763444764,-0.9074014738865748,-1.3823871256146625,-1.4499040405245593,0.0,0.0,0.0,0.0,0,1.5
18,-0.6968929952926968,0.5505934328358213,0.2782398090930136,-0.818968279397629,-1.036566830576665,-0.9708240256493651,0.0,0.0,0.0,0.0,0,1.5
19,-0.8568657012314603,-0.4208979104477609,0.1519216630074464,-0.81256007689843,-0.9375055878408582,-0.8361160502391402,0.0,0.0,0.0,0.0,0,1.5
20,-1.2154395865318564,-0.8089576119402982,1.7530369831404506,-0.8228132008971484,-1.0748323647742513,-1.0233218394087997,0.0,0.0,0.0,0.5,0,2.0
21,-1.50594945988188,-1.0815928358208953,-0.09163738866515202,-0.799743671900032,-1.2758158247653106,-1.3292669897620442,0.0,0.0,0.0,0.5,1,2.0
22,-1.4330318999340705,-0.9071594029850744,0.6678182821932935,-0.7266901634091637,-1.2740277156906572,-1.3580906766695204,0.0,0.0,0.0,0.5,1,2.0
23,-1.3626172791693756,-0.6434364179104474,-0.2304418285754991,-0.8087151553989106,-1.1202503352704516,-1.0939451862285026,0.0,0.0,0.0,0.0,0,2.0
24,-0.9325661489093904,-0.045380298507462384,-0.5208117617427894,-0.6805511054149311,-0.916763522574877,-0.8581626053819302,0.0,0.0,0.0,0.0,0,1.5
25,-1.0466331945577858,1.1273623880597017,1.1486474453724647,-0.87536046139058,-1.4456861868573982,-1.5697938381519894,0.0,0.0,0.0,0.0,0,0.0
26,-0.9872501694352621,0.29154149253731365,-0.6832149916936125,-0.899711630887536,-1.4725078229772015,-1.6044286876417249,0.0,0.0,0.0,0.0,0,2.0
27,-0.9739092749092889,0.7956274626865673,-0.5869168674361628,-0.8702338993912208,-1.2092981671881984,-1.199039316548088,0.0,0.0,0.0,0.5,0,1.5
28,-1.0151860099494232,0.12074268656716454,-0.36237728044042944,-0.7612944569048382,-1.2339740724184176,-1.2816538134599749,0.0,0.0,0.0,0.5,1,2.0
29,-0.8743043933295529,0.457148656716418,-1.0887844689636224,-0.7395065684075617,-1.234689316048279,-1.2919900814064418,0.0,0.0,0.0,0.5,1,2.0
30,-1.1106267029972754,-0.10845850746268637,0.06326592396793458,-0.8651073373918616,-1.089852481001341,-1.0278932305831767,0.0,0.0,0.0,0.0,0,1.5
31,-0.9325513953627761,0.9700608955223885,-1.3001417046793073,-0.8586991348926626,-1.1402771569065713,-1.1027266784090444,0.0,0.0,0.5,0.0,0,1.5
32,-0.8592004499831719,0.7114435820895527,0.8480198233906848,-0.8266581223966677,-1.0809119356280734,-1.030434901555648,0.0,0.0,0.5,0.0,0,1.5
33,-1.1415058760609877,-0.9009313432835818,0.9848297126982145,-0.8407561678949055,-1.0723290120697362,-1.0126731763484447,0.0,0.0,0.5,0.0,0,2.0
34,-0.9544714772449598,-0.19697432835820863,-0.5407267389352051,-0.806151874399231,-1.015824765310684,-0.9467892515274176,0.0,0.0,0.5,0.5,0,1.5
35,-0.9010968339811064,1.4457719402985079,-0.20246723874312772,-0.7907721884011535,-1.2672329012069736,-1.319904920587772,0.0,0.0,0.5,0.5,1,1.5
36,-0.7217932935909672,-0.2776143283582087,-0.3986557135988154,-0.46523550144184556,-1.0462226195797943,-1.1255431584368956,0.0,0.0,0.5,0.5,1,2.0
37,-0.677580602774589,0.5343259701492536,-1.3795645061579207,-0.7651393784043575,-1.0143942780509612,-0.9607950283346502,0.0,0.0,0.5,0.0,0,2.0
38,-1.066380816701015,-0.42288477611940284,1.8416520170656192,-0.836911246395386,-1.0794814483683504,-1.0243373035520302,0.0,0.0,0.5,0.0,0,2.0
39,-1.2654172256877692,-0.6288979104477611,0.0800262547987513,-0.8510092918936238,-1.052659812248547,-0.9808740970864878,0.0,0.0,0.5,0.0,0,1.5
40,-1.2459978699567078,-0.9030089552238804,0.41682037087447305,-0.8586991348926626,-1.0766204738489047,-1.0116603151722603,0.0,0.0,0.5,0.0,0,2.0
41,-1.010084971207532,-0.5735856716417908,-0.7370169765767508,-0.7279718039090035,-1.0022351363433168,-0.958291035544741,0.0,0.0,0.5,0.5,0,2.0
42,-0.938364292728807,-0.39303402985074615,0.22786723009329096,-0.5498237744312721,-1.1002235136343317,-1.1699960409671688,0.0,0.0,0.5,0.5,1,2.0
43,-0.6021346537757555,-0.8074865671641789,0.8131660692343115,-0.4101249599487344,-1.0583817612874384,-1.16579032761732,0.0,0.0,0.5,0.5,1,2.0
44,-0.32831989377446436,-1.1970173134328355,2.411096214169959,-0.6523550144184557,-0.9425122932498883,-0.9045127841677767,0.0,0.0,0.5,0.0,0,2.0
45,-0.8597278892746328,-1.490677014925373,1.1234509795940175,-0.7395065684075617,-0.977559231113098,-0.9193932830305719,0.0,0.0,0.5,0.0,0,2.0
46,-0.6313208573654777,-0.9694591044776117,0.7206433443321946,-0.6395386094200577,-0.8702726866338847,-0.8102635397934658,0.0,0.0,0.5,0.0,0,2.0
47,-0.2165322710779771,-0.5801002985074625,0.4999503906418943,-0.5869913489266261,-0.7415288332588288,-0.6570468853079152,0.0,0.0,0.5,0.0,0,2.0
48,0.09080254683098452,-0.5243773134328357,0.8542985872781251,-0.1768663889778917,-0.5798837729101475,-0.5947363014888787,0.0,0.0,0.5,0.5,0,2.0
49,-0.35393942747018176,-2.094526567164179,3.3224328429215073,-0.23710349247036205,-1.0419311578006258,-1.212849660304147,0.0,0.0,0.5,0.5,1,2.0
50,-0.7746884465898561,-1.044214925373134,0.43004953303601634,-0.099967958987504,-0.9786320965578901,-1.1757865639944223,0.0,0.0,0.5,0.5,1,2.0
